1 151.935 151.935 148.571 131.394 112.744 94.6243 78.3904 
5 151.935 151.935 138.861 118.512 97.9276 79.2886 66.9124 
10 151.935 151.935 134.068 112.471 91.3378 72.7938 66.9124 
50 151.935 144.39 121.588 97.6375 76.0412 66.9124 66.9124 
100 151.935 140.062 115.69 91.045 69.6189 66.9124 66.9124 
500 151.935 128.605 101.082 75.7537 66.9124 66.9124 66.9124 
1000 149.219 123.093 94.5309 69.3386 66.9124 66.9124 66.9124 
5000 139.657 109.165 79.1958 66.9124 66.9124 66.9124 66.9124 
10000 134.928 102.788 72.7028 66.9124 66.9124 66.9124 66.9124 
50000 122.585 87.5298 66.9124 66.9124 66.9124 66.9124 66.9124 
100000 116.737 80.9251 66.9124 66.9124 66.9124 66.9124 66.9124 
