% Vickers Hardness Test for Aluminium Allowy AA-2198-T8
% Column data:
% 1 - Temperature [ºC]
% 2 - Time [s]
% 3 - Vickers hardness
MinimumVickersHardness:
65
MaximumVickersHardness:
138
ReferenceTime:
20000
ReferenceTemperature:
350
NumberOfSamples:
105
ExperimentalData: 
200	3	137	   
200	6	138	   
200	10	136	   
200	18	132	   
200	32	135	   
200	56	135	   
200	100	133	   
200	178	131	   
200	316	132	   
200	600	137	   
200	1000	131	   
200	1904	131	   
200	2892	131	   
200	5428	133	   
200	10483	133	   
200	25007	134	   
250	3	134	   
250	6	132	   
250	10	133	   
250	18	135	   
250	32	137	   
250	56	130	   
250	100	125	   
250	178	123	   
250	316	124	   
250	562	125	   
250	1809	121	   
250	2889	127	   
250	5780	124	   
250	9030	118	   
250	18175	120	   
250	24054	118	   
300	3	128	   
300	6	125	   
300	10	124	   
300	18	122	   
300	32	117	   
300	56	121	   
300	100	115	   
300	180	118	   
300	316	116	   
300	562	117	   
300	1000	108	   
300	1784	105	   
300	3203	99	   
300	5368	99	   
300	10346	94	   
300	25940	89	   
350	3	129	   
350	10	111	   
350	32	102	   
350	100	96	   
350	316	96	   
350	1071	86	   
350	2606	76	   
350	9938	72	   
350	22652	68	   
400	3	118	   
400	6	108	   
400	10	96	   
400	18	89	   
400	32	89	   
400	56	84	   
400	100	87	   
400	178	79	   
400	316	78	   
400	562	76	   
400	1000	73	   
400	1771	68	   
400	3369	68	   
400	8529	67	   
450	2	116	   
450	3	112	   
450	6	96	   
450	10	84	   
450	18	80	   
450	32	80	   
450	56	78	   
450	100	77	   
450	178	73	   
450	316	73	   
450	562	73	   
450	990	73	   
450	1822	71	   
450	3202	70	   
450	6031	69	   
450	9248	66	   
450	24074	68	   
500	2	114	   
500	3	100	   
500	6	83	   
500	10	78	   
500	18	72	   
500	32	74	   
500	56	77	   
500	100	79	   
500	178	74	   
500	316	79	   
500	562	76	   
500	1017	74	   
500	1854	73	   
500	2940	72	   
500	5162	77	   
500	10135	73	   
500	22961	75	 
